id,word,definition,tags
1,handtakes,Ta hverandre i hendene (som hilsen eller til stadfesting av en avtale),obskur;bm;verb
2,papillom,"Godartet, vortelignende svulst i hud eller på slimhinne",obskur;bm;subst
3,iskrave,Små isdannelser i vannskorpe når den fryser,obskur;bm;subst
4,kuplet,Som har form som en kuppel eller halvkule,obskur;bm;adj
5,sportel,Om eldre forhold: avgift til statskassa eller en tjenestemann for visse offentlige forretninger,obskur;bm;subst
6,vinnskipelig,"Foretaksom, driftig, flittig",obskur;bm;adj
7,vaniljerot,Gulhvit skogplante uten klorofyll,obskur;bm;subst
8,bakhodeben,Bakre bein i hjerneskalle,obskur;bm;subst
9,vaflete,"Sydd, strikket i vaffelmønster",obskur;bm;adj
10,laksesild,Liten søvblank dypvannsfisk med lysorgan på buken,obskur;bm;subst
11,assortere,"Forsyne med varer i høvelig utvalg, særlig i perfektum partisipp",obskur;bm;verb
12,grasgrodd,Som er tilvokst med gress,obskur;bm;adj
13,nitrere,Herde stål med ammoniakkgass,obskur;bm;verb
14,bogebro,Bru der én eller flere buer er del av konstruksjonen i bæresystemet,obskur;bm;subst
15,epigrafikk,Vitenskap om tolking av gamle innskrifter,obskur;bm;subst
16,kutikula,I zoologi: vernende lag som dekker kroppen til virvelløse dyr,obskur;bm;subst
17,papist,Brukt nedsettende for katolikk,obskur;bm;subst
18,efemeride,Astronomisk tabell over himmellegemenes posisjon,obskur;bm;subst
19,uteganger,"Dyr som går ute, ofte hele året",obskur;bm;subst
20,skylddaler,Om eldre forhold: enhet brukt i matrikkel fra 1838 som mål for å fastsette en jordeiendoms skatteevne,obskur;bm;subst
21,labialisere,Uttale en språklyd ved å runde leppene,obskur;bm;verb
22,coulomb,Enhet for elektrisk ladning målt i ampere/sekund,obskur;bm;subst
23,brottfasthet,Største mekaniske påkjenning et materiale tåler før det brister,obskur;bm;subst
24,persiflasj,Bitende spott eller ironi,obskur;bm;subst
25,utause,Gi heftig uttrykk for,obskur;bm;verb
26,svinebeist,"Hensynsløs, sjofel person",obskur;bm;subst
27,minbar,Prekestol i en moské,obskur;bm;subst
28,typifisere,Framstille noe eller noen som en bestemt type,obskur;bm;verb
29,evadrakt,Om kvinne: naken tilstand,obskur;bm;subst
30,skjeggkre,"Sølvblankt insekt med lange antenner, tre lange haletråder og hårlag",obskur;bm;subst
31,utabysbuende,Som bor utenfor eller i området omkring byen,obskur;bm;adj
32,kromatofor,I botanikk og zoologi: celle(del) som inneholder pigment,obskur;bm;subst
33,lansett,"Tynn, tveegget kniv brukt til små operasjoner",obskur;bm;subst
34,bakfjel,"Bakerste fjøl i karm på en båt, kjerre eller lignende",obskur;bm;subst
35,fremstavn,Forreste del av et fartøy,obskur;bm;subst
36,troke,I germanskspråklig diktning: versefot som består av én trykksterk og én trykksvak stavelse,obskur;bm;subst
37,residivist,"Person (alkoholiker, forbryter) som får tilbakefall",obskur;bm;subst
38,longere,Mosjonere eller dressere en hest ved å la den løpe i ring i en lang line,obskur;bm;verb
39,wagneritt,"Sjeldent, krystalliserende mineral",obskur;bm;subst
40,obskurantisk,Som er imot opplysning og tankefrihet,obskur;bm;adj
41,skandere,Lese vers med sterk markering av rytmen,obskur;bm;verb
42,kordel,Tått av flere kabelgarn som er tvunnet sammen,obskur;bm;subst
43,attributiv,"I språkvitenskap, om adjektiv: som er direkte knyttet til et substantiv",obskur;bm;adj
44,takkam,List som markerer og framhever møtet mellom to takflater,obskur;bm;subst
45,veitistel,"Toårig ugress med grov stengel, mange grener og blad med lange kvasse torner, Cirsium vulgare",obskur;bm;subst
46,kvestur,Eldre betegnelse for økonomiavdeling ved et universitet,obskur;bm;subst
47,driftekar,"Omreisende forhandler av fe, hest eller lignende",obskur;bm;subst
48,stigme,"Sårmerke, særlig brukt om Kristi sårmerker",obskur;bm;subst
49,skurhare,Om eldre forhold: kornband av siste kornet på åkeren som husdyra fikk til jul,obskur;bm;subst
50,pulsvante,Plagg som dekker håndleddet,obskur;bm;subst
52,underlivsben,Knokkel i bekkenet like over kjønnsorganet,obskur;bm;subst
53,beitski,Loddrett trestykke innfelt i lafteveggen ved vindus- eller døråpningen,obskur;bm;subst
54,bumann,Eldre betegnelse for fastboende person,obskur;bm;subst
55,junonisk,Med svulmende former,obskur;bm;adj
56,justifikasjon,Bekreftelse i rettslige former,obskur;bm;subst
57,eukaristi,I den romersk-katolske kirke: takkebønn før nattverden,obskur;bm;subst
58,forgremt,"Preget av sorg, lidelse eller bekymring",obskur;bm;adj
60,saiga,Klovdyr i oksefamilie med karakteristisk snabellignende nese og neserygg,obskur;bm;subst
61,komparabel,Som kan sammenlignes,obskur;bm;adj
